Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
Malus spp.,"crabapple, flowering",11,1,Street,"(40.08487159410, -88.25825561930)"
Acer saccharum,"maple, sugar",22,1,Street,"(40.08494203130, -88.25825150350)"
Liquidambar styraciflua,"sweetgum, American",24,1,Street,"(40.08541499330, -88.25825902520)"
Liquidambar styraciflua,"sweetgum, American",24,1,Street,"(40.08550245490, -88.25826196690)"
Cercis canadensis,"redbud, eastern",16,1,Street,"(40.08505194720, -88.25825338410)"
Betula nigra,"birch, river",20,1,Street,"(40.08566888890, -88.25825774560)"
Acer saccharum,"maple, sugar",16,1,Street,"(40.08594521140, -88.25825544060)"
Quercus rubra,"oak, northern red",25,1,Street,"(40.08607759090, -88.25827041290)"
Acer platanoides,"maple, Norway",20,1,Street,"(40.08581101100, -88.26024336490)"
vacant site large,"vacant site, large",0,0,Street,"(40.09904839800, -88.24723464070)"
vacant site large,"vacant site, large",0,0,Street,"(40.09907629970, -88.24847767640)"
Ulmus pumila,"elm, Siberian",3,1,Street,"(40.08610372620, -88.32267557990)"
Acer rubrum,"maple, red",18,1,Street,"(40.08458230540, -88.26153444660)"
Malus spp.,"crabapple, flowering",8,1,Street,"(40.08587405060, -88.26061080370)"
Tilia cordata,"linden, littleleaf",24,1,Street,"(40.08590691400, -88.26070504880)"
Quercus palustris,"oak, pin",26,1,Street,"(40.08602249670, -88.26098923200)"
Acer rubrum,"maple, red",11,1,Street,"(40.08606915160, -88.26141044180)"
Tilia cordata,"linden, littleleaf",9,1,Street,"(40.08633739730, -88.26157516850)"
Quercus rubra,"oak, northern red",22,1,Street,"(40.08651616040, -88.26157644610)"
Liquidambar styraciflua,"sweetgum, American",23,1,Street,"(40.08677752790, -88.26158353400)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.08607604620, -88.32257644330)"
Acer rubrum,"maple, red",9,1,Street,"(40.08687481400, -88.26158196660)"
Acer rubrum,"maple, red",25,1,Street,"(40.08714748860, -88.26158461100)"
Acer rubrum,"maple, red",19,1,Street,"(40.08709796600, -88.26171661450)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.08661205560, -88.26172255610)"
Tilia cordata,"linden, littleleaf",28,1,Street,"(40.08636794830, -88.26170472770)"
vacant site large,"vacant site, large",0,0,Street,"(40.09917477110, -88.24870836700)"
Fraxinus americana,"ash, white",3,1,Street,"(40.08603979960, -88.32245858080)"
Ulmus pumila,"elm, Siberian",3,1,Street,"(40.08597348430, -88.32224086780)"
Tilia cordata,"linden, littleleaf",20,1,Street,"(40.08609794200, -88.26171105060)"
Acer saccharinum,"maple, silver",26,1,Street,"(40.08573176520, -88.26170299990)"
Acer saccharinum,"maple, silver",36,1,Street,"(40.08559305500, -88.26170436040)"
Liquidambar styraciflua,"sweetgum, American",23,1,Street,"(40.08530732040, -88.26166852790)"
Fraxinus pennsylvanica,"ash, green",29,1,Street,"(40.08516951670, -88.26162653630)"
Quercus rubra,"oak, northern red",24,1,Street,"(40.08498547180, -88.26156293570)"
Fraxinus americana,"ash, white",23,1,Street,"(40.08476631230, -88.26153668360)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08421244740, -88.26134542200)"
Quercus rubra,"oak, northern red",8,1,Street,"(40.08446300240, -88.26153457200)"
Acer rubrum,"maple, red",14,1,Street,"(40.08432758370, -88.26162030770)"
Betula nigra,"birch, river",15,1,Street,"(40.08432413090, -88.26176333630)"
Acer rubrum,"maple, red",12,1,Street,"(40.08432067890, -88.26190790170)"
Acer saccharum,"maple, sugar",12,1,Street,"(40.08432563980, -88.26229694470)"
Acer rubrum,"maple, red",19,1,Street,"(40.08448658570, -88.26243033210)"
Acer saccharum,"maple, sugar",13,1,Street,"(40.08458955470, -88.26242936760)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08421063100, -88.26024200290)"
Acer saccharum,"maple, sugar",12,1,Street,"(40.08470498670, -88.26242878320)"
Quercus rubra,"oak, northern red",22,1,Street,"(40.08481536970, -88.26243131340)"
Acer saccharum,"maple, sugar",12,1,Street,"(40.08489681530, -88.26242772650)"
Gleditsia triacanthos inermis,"honeylocust, thornless",24,1,Street,"(40.08507382660, -88.26243719230)"
Acer saccharinum,"maple, silver",4,1,Street,"(40.08532963190, -88.26250615320)"
Betula nigra,"birch, river",21,1,Street,"(40.08557806070, -88.26258823860)"
Fraxinus pennsylvanica,"ash, green",26,1,Street,"(40.08585335210, -88.26260550150)"
Acer saccharum,"maple, sugar",4,1,Street,"(40.08601084020, -88.26260619630)"
Acer rubrum,"maple, red",19,1,Street,"(40.08615418830, -88.26260254550)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.08628546590, -88.26261205930)"
Quercus palustris,"oak, pin",22,1,Street,"(40.08638978040, -88.26261195130)"
Gleditsia triacanthos inermis,"honeylocust, thornless",22,1,Street,"(40.08665023960, -88.26261518430)"
Liquidambar styraciflua,"sweetgum, American",23,1,Street,"(40.08681513470, -88.26260800870)"
Quercus palustris,"oak, pin",28,1,Street,"(40.08704938540, -88.26262352750)"
Quercus bicolor,"oak, swamp white",13,1,Street,"(40.08685812890, -88.26275228120)"
Fraxinus americana,"ash, white",28,1,Street,"(40.08676473660, -88.26274687370)"
Acer saccharum,"maple, sugar",10,1,Street,"(40.08658833490, -88.26274666280)"
Acer rubrum,"maple, red",21,1,Street,"(40.08649376620, -88.26274786840)"
Quercus alba,"oak, white",5,1,Street,"(40.08621741530, -88.26274872560)"
Gleditsia triacanthos inermis,"honeylocust, thornless",21,1,Street,"(40.08597070920, -88.26274562090)"
Acer rubrum,"maple, red",16,1,Street,"(40.08585467500, -88.26274910020)"
Quercus palustris,"oak, pin",35,1,Street,"(40.08573775760, -88.26274475360)"
vacant site large,"vacant site, large",0,0,Street,"(40.10106556700, -88.24742388160)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.08595324550, -88.32216599740)"
Fraxinus pennsylvanica,"ash, green",20,1,Street,"(40.08548587230, -88.26271141910)"
Tilia cordata,"linden, littleleaf",16,1,Street,"(40.08531135220, -88.26264558970)"
Liquidambar styraciflua,"sweetgum, American",20,1,Street,"(40.08521332680, -88.26260541340)"
Tilia cordata,"linden, littleleaf",14,1,Street,"(40.08508006360, -88.26258092720)"
Tilia cordata,"linden, littleleaf",13,1,Street,"(40.08500108580, -88.26275995290)"
Tilia cordata,"linden, littleleaf",13,1,Street,"(40.08500414700, -88.26291848680)"
Tilia cordata,"linden, littleleaf",14,1,Street,"(40.08500205550, -88.26313603070)"
Acer rubrum,"maple, red",3,1,Street,"(40.08631598020, -88.32299030400)"
Fraxinus pennsylvanica,"ash, green",21,1,Street,"(40.08500475490, -88.26333276980)"
Tilia cordata,"linden, littleleaf",20,1,Street,"(40.08500862880, -88.26356574670)"
Quercus palustris,"oak, pin",21,1,Street,"(40.08520957170, -88.26370234990)"
Acer rubrum,"maple, red",12,1,Street,"(40.08532023040, -88.26370706200)"
Quercus bicolor,"oak, swamp white",8,1,Street,"(40.08554521760, -88.26370200800)"
Quercus palustris,"oak, pin",22,1,Street,"(40.08567813580, -88.26370090760)"
Acer rubrum,"maple, red",13,1,Street,"(40.08577616290, -88.26369887780)"
vacant site large,"vacant site, large",0,0,Street,"(40.10117669220, -88.24862055830)"
Stump,"honeylocust, thornless",32,1,Street,"(40.08592319100, -88.26369772730)"
Betula nigra,"birch, river",24,1,Street,"(40.08616303040, -88.26369458800)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.08644745230, -88.26369429820)"
Quercus palustris,"oak, pin",32,1,Street,"(40.08657367240, -88.26369320460)"
Quercus rubra,"oak, northern red",26,1,Street,"(40.08680091110, -88.26368911320)"
Acer saccharum,"maple, sugar",6,1,Street,"(40.08489584200, -88.26267686190)"
Pseudotsuga menziesii,douglas-fir,9,1,Street,"(40.08456823870, -88.26258631750)"
Ulmus pumila,"elm, Siberian",3,1,Street,"(40.08637883780, -88.32323714700)"
Acer rubrum,"maple, red",22,1,Street,"(40.08422231870, -88.26181487040)"
Tilia cordata,"linden, littleleaf",14,1,Street,"(40.08421703700, -88.26148647640)"
Ginkgo biloba,ginkgo,11,1,Street,"(40.08421574720, -88.26122201400)"
Betula nigra,"birch, river",25,1,Street,"(40.08421679760, -88.26110153900)"
Fraxinus americana,"ash, white",3,1,Street,"(40.08640609550, -88.32421354580)"
Liriodendron tulipifera,tuliptree,18,1,Street,"(40.08510152720, -88.26014555610)"
Quercus rubra,"oak, northern red",11,1,Street,"(40.08401755380, -88.26243010390)"
Pyrus calleryana,"pear, Callery",16,1,Street,"(40.08421333950, -88.26097077610)"
Tilia cordata,"linden, littleleaf",15,1,Street,"(40.08421193600, -88.26052705040)"
Liquidambar styraciflua,"sweetgum, American",16,1,Street,"(40.08421295610, -88.26035954380)"
Tilia cordata,"linden, littleleaf",21,1,Street,"(40.08421051680, -88.26006127430)"
Fraxinus pennsylvanica,"ash, green",22,1,Street,"(40.08421156980, -88.25994669600)"
Gleditsia triacanthos inermis,"honeylocust, thornless",24,1,Street,"(40.08420461310, -88.25966901670)"
Fraxinus americana,"ash, white",25,1,Street,"(40.08425855800, -88.25932955130)"
vacant site large,"vacant site, large",0,0,Street,"(40.10117953270, -88.24641505930)"
Quercus rubra,"oak, northern red",18,1,Street,"(40.08571626170, -88.26017602650)"
Liquidambar styraciflua,"sweetgum, American",20,1,Street,"(40.08431070640, -88.25966007490)"
Quercus robur,"oak, English",22,1,Street,"(40.08431315230, -88.25996713650)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.08454249400, -88.26033717700)"
Picea abies,"spruce, Norway",17,1,Street,"(40.08493179100, -88.26026767830)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.08639759830, -88.32437576840)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08719551780, -88.26340800990)"
Pyrus calleryana,"pear, Callery",22,1,Street,"(40.08431892470, -88.26019635640)"
Pyrus calleryana,"pear, Callery",25,1,Street,"(40.08440027020, -88.26033879420)"
Tilia cordata,"linden, littleleaf",22,1,Street,"(40.08517703380, -88.26004026010)"
Acer rubrum,"maple, red",7,1,Street,"(40.08517016410, -88.26024651620)"
Liquidambar styraciflua,"sweetgum, American",17,1,Street,"(40.08487329250, -88.26044203840)"
Tilia cordata,"linden, littleleaf",20,1,Street,"(40.08448820230, -88.26047890230)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.08449810640, -88.26139201000)"
Quercus bicolor,"oak, swamp white",7,1,Street,"(40.08465040620, -88.26139260020)"
Fraxinus americana,"ash, white",3,1,Street,"(40.08640185970, -88.32446036320)"
Pyrus calleryana,"pear, Callery",14,1,Street,"(40.08432285430, -88.26103363120)"
Quercus rubra,"oak, northern red",4,1,Street,"(40.08496084240, -88.26142115030)"
Liquidambar styraciflua,"sweetgum, American",19,1,Street,"(40.08514641440, -88.26146802310)"
Acer saccharum,"maple, sugar",16,1,Street,"(40.08545806770, -88.26155582770)"
Fraxinus americana,"ash, white",23,1,Street,"(40.08596673820, -88.26133346000)"
Tilia cordata,"linden, littleleaf",27,1,Street,"(40.08579362920, -88.26071528340)"
Quercus bicolor,"oak, swamp white",9,1,Street,"(40.08572342270, -88.26043126770)"
vacant site large,"vacant site, large",0,0,Street,"(40.10116411390, -88.24573423780)"
vacant site large,"vacant site, large",0,0,Street,"(40.10103887860, -88.24558504690)"
Acer saccharum,"maple, sugar",23,1,Street,"(40.08570686210, -88.26007121380)"
Acer rubrum,"maple, red",10,1,Street,"(40.08735476050, -88.26227721280)"
Acer rubrum,"maple, red",10,1,Street,"(40.08734984390, -88.26245180770)"
Tilia cordata,"linden, littleleaf",23,1,Street,"(40.08722844420, -88.26329221470)"
vacant site large,"vacant site, large",0,0,Street,"(40.10088992880, -88.24558523820)"
Acer rubrum,"maple, red",2,1,Street,"(40.08639868970, -88.32464896090)"
Fraxinus americana,"ash, white",2,1,Street,"(40.08640081120, -88.32475296250)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08683082390, -88.26510387460)"
Quercus bicolor,"oak, swamp white",9,1,Street,"(40.08708541840, -88.26396830880)"
Tilia cordata,"linden, littleleaf",20,1,Street,"(40.08701391660, -88.26430447840)"
Quercus palustris,"oak, pin",31,1,Street,"(40.08698102250, -88.26447631280)"
Quercus rubra,"oak, northern red",25,1,Street,"(40.08677639700, -88.26525889620)"
Acer rubrum,"maple, red",14,1,Street,"(40.08672485550, -88.26541956150)"
Acer rubrum,"maple, red",6,1,Street,"(40.08657738830, -88.26584354360)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08705306960, -88.26358381690)"
Acer saccharinum,"maple, silver",18,1,Street,"(40.08306373980, -88.26053763680)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.08640856390, -88.26655514050)"
Fraxinus pennsylvanica,"ash, green",16,1,Street,"(40.08639293310, -88.26682220110)"
Acer rubrum,"maple, red",8,1,Street,"(40.08640313970, -88.26710038730)"
Fraxinus pennsylvanica,"ash, green",17,1,Street,"(40.08641951890, -88.26722853320)"
Quercus rubra,"oak, northern red",12,1,Street,"(40.08656974360, -88.26778034980)"
Quercus acutissima,"oak, sawtooth",17,1,Street,"(40.08631330220, -88.26726273140)"
Acer rubrum,"maple, red",2,1,Street,"(40.08639764470, -88.32499702780)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.08639552040, -88.32523551760)"
Acer rubrum,"maple, red",7,1,Street,"(40.08629383620, -88.26711321650)"
Acer saccharum,"maple, sugar",17,1,Street,"(40.08707457730, -88.26346946320)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.08723656290, -88.26251332640)"
Acer rubrum,"maple, red",9,1,Street,"(40.08724110750, -88.26235881800)"
Acer saccharum,"maple, sugar",9,1,Street,"(40.08724394920, -88.26197965020)"
Malus spp.,"crabapple, flowering",12,1,Street,"(40.08232009950, -88.25789886850)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08275156390, -88.25834203850)"
Pyrus calleryana,"pear, Callery",14,1,Street,"(40.08724103990, -88.26224848890)"
Malus spp.,"crabapple, flowering",10,1,Street,"(40.08240044700, -88.25819096870)"
Malus spp.,"crabapple, flowering",10,1,Street,"(40.08251466870, -88.25818648320)"
Malus spp.,"crabapple, flowering",12,1,Street,"(40.08260550810, -88.25819160100)"
Quercus robur,"oak, English",29,1,Street,"(40.08286222350, -88.25822069510)"
Fraxinus pennsylvanica,"ash, green",26,1,Street,"(40.08295332130, -88.25837033580)"
Acer rubrum,"maple, red",24,1,Street,"(40.08294648360, -88.25862165070)"
Quercus palustris,"oak, pin",21,1,Street,"(40.08300826190, -88.25902591950)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.08648750030, -88.32550115860)"
Quercus bicolor,"oak, swamp white",14,1,Street,"(40.08305746650, -88.25934489670)"
Acer rubrum,"maple, red",17,1,Street,"(40.08305558060, -88.25948681330)"
Fraxinus americana,"ash, white",22,1,Street,"(40.08305788210, -88.25999857510)"
Pseudotsuga menziesii,douglas-fir,12,1,Street,"(40.08306903580, -88.26022903580)"
Acer rubrum,"maple, red",17,1,Street,"(40.08305359150, -88.26033322780)"
Fraxinus pennsylvanica,"ash, green",29,1,Street,"(40.08302282750, -88.26069657020)"
Acer rubrum,"maple, red",23,1,Street,"(40.08275726500, -88.26061036750)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.08259343880, -88.25833292030)"
Fraxinus pennsylvanica,"ash, green",32,1,Street,"(40.08274532350, -88.25974067080)"
Quercus coccinea,"oak, scarlet",33,1,Street,"(40.08274509620, -88.25938372420)"
Liquidambar styraciflua,"sweetgum, American",10,1,Street,"(40.08274993520, -88.25913802320)"
Acer rubrum,"maple, red",21,1,Street,"(40.08280043680, -88.25903876080)"
Acer saccharinum,"maple, silver",36,1,Street,"(40.08282159600, -88.25873089410)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.08283718280, -88.25859457380)"
Acer saccharinum,"maple, silver",18,1,Street,"(40.08174188070, -88.25842837910)"
Acer rubrum,"maple, red",18,1,Street,"(40.08184433870, -88.25998833400)"
Fraxinus pennsylvanica,"ash, green",17,1,Street,"(40.08251795280, -88.25834043650)"
Malus spp.,"crabapple, flowering",7,1,Street,"(40.08242462190, -88.25834557790)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.08234284630, -88.25834809770)"
Acer saccharinum,"maple, silver",23,1,Street,"(40.08207752060, -88.25833355790)"
Acer rubrum,"maple, red",17,1,Street,"(40.08195393160, -88.25832811850)"
Acer rubrum,"maple, red",13,1,Street,"(40.08189861840, -88.25832975160)"
Acer saccharum,"maple, sugar",6,1,Street,"(40.08187215230, -88.25832499190)"
Acer saccharinum,"maple, silver",27,1,Street,"(40.08184879340, -88.25832823380)"
Acer saccharum,"maple, sugar",6,1,Street,"(40.08182606280, -88.25832665060)"
Acer saccharinum,"maple, silver",16,1,Street,"(40.08174615740, -88.25837716330)"
Acer platanoides,"maple, Norway",14,1,Street,"(40.08174008340, -88.25849320810)"
Tilia cordata,"linden, littleleaf",22,1,Street,"(40.08174815590, -88.25862367520)"
Acer saccharum,"maple, sugar",15,1,Street,"(40.08174574410, -88.25871495030)"
Acer saccharinum,"maple, silver",21,1,Street,"(40.08177608880, -88.25903108290)"
Malus spp.,"crabapple, flowering",12,1,Street,"(40.08174336130, -88.25880858390)"
Acer saccharum,"maple, sugar",18,1,Street,"(40.08184397860, -88.26041814450)"
Fraxinus americana,"ash, white",24,1,Street,"(40.08184639510, -88.25937997920)"
Acer rubrum,"maple, red",13,1,Street,"(40.08184347620, -88.25962413820)"
Betula papyrifera,"birch, paper",12,2,Street,"(40.08184845150, -88.25972098040)"
Picea pungens,"spruce, Colorado",14,1,Street,"(40.08184486450, -88.25986504050)"
Acer rubrum,"maple, red",22,1,Street,"(40.08184500290, -88.26008357270)"
Acer saccharum,"maple, sugar",19,1,Street,"(40.08184877790, -88.26023645190)"
Acer rubrum,"maple, red",18,1,Street,"(40.08074546690, -88.25785397010)"
Acer saccharum,"maple, sugar",18,1,Street,"(40.13667860150, -88.25093503010)"
Fraxinus pennsylvanica,"ash, green",23,1,Street,"(40.08182940380, -88.26068311480)"
Tilia cordata,"linden, littleleaf",17,1,Street,"(40.08154202910, -88.26048432970)"
Acer saccharum,"maple, sugar",16,1,Street,"(40.08154586420, -88.26007964050)"
Fraxinus americana,"ash, white",22,1,Street,"(40.08154436710, -88.25970994350)"
Quercus palustris,"oak, pin",25,1,Street,"(40.08153910090, -88.25945832540)"
Liriodendron tulipifera,tuliptree,19,1,Street,"(40.08160344940, -88.25890511910)"
Picea abies,"spruce, Norway",17,1,Street,"(40.08161274610, -88.25880533130)"
Quercus bicolor,"oak, swamp white",8,1,Street,"(40.08158482160, -88.25905144650)"
Picea pungens,"spruce, Colorado",9,1,Street,"(40.08162038900, -88.25873770860)"
Picea orientalis,"spruce, Oriental",8,1,Street,"(40.08161776570, -88.25867120500)"
Picea pungens,"spruce, Colorado",9,1,Street,"(40.08161940930, -88.25853819010)"
Quercus bicolor,"oak, swamp white",8,1,Street,"(40.08155539700, -88.25833209370)"
Quercus bicolor,"oak, swamp white",8,1,Street,"(40.08145321570, -88.25832001960)"
Tilia cordata,"linden, littleleaf",19,1,Street,"(40.08133058890, -88.25831683060)"
Quercus bicolor,"oak, swamp white",14,1,Street,"(40.08114669390, -88.25831814030)"
Tilia cordata,"linden, littleleaf",16,1,Street,"(40.08104619780, -88.25832268190)"
Quercus macrocarpa,"oak, bur",15,1,Street,"(40.08087505930, -88.25831121960)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.08076948040, -88.25830911980)"
Ginkgo biloba,ginkgo,16,1,Street,"(40.08055085010, -88.25880616750)"
Acer rubrum,"maple, red",15,1,Street,"(40.08059667340, -88.25903093550)"
Acer rubrum,"maple, red",21,1,Street,"(40.08063233500, -88.25912034510)"
Quercus palustris,"oak, pin",26,1,Street,"(40.08063953050, -88.25946908940)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.08061543180, -88.25999319050)"
Quercus palustris,"oak, pin",30,1,Street,"(40.08033338490, -88.25967015110)"
Acer rubrum,"maple, red",19,1,Street,"(40.08035111650, -88.25906525910)"
Fraxinus americana,"ash, white",16,1,Street,"(40.08040269520, -88.25897618380)"
Quercus palustris,"oak, pin",30,1,Street,"(40.08036631480, -88.25883635140)"
Celtis occidentalis,"hackberry, common",15,1,Street,"(40.08044992170, -88.25865096720)"
Acer rubrum,"maple, red",21,1,Street,"(40.08056976490, -88.25838199120)"
Fraxinus americana,"ash, white",16,1,Street,"(40.08063235630, -88.25808949110)"
Fraxinus americana,"ash, white",22,1,Street,"(40.08064051960, -88.25776796110)"
Acer rubrum,"maple, red",12,1,Street,"(40.08074533890, -88.25765770530)"
Fraxinus pennsylvanica,"ash, green",19,1,Street,"(40.08074560890, -88.25807217710)"
Quercus rubra,"oak, northern red",14,1,Street,"(40.08080921890, -88.25816512930)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.08092624060, -88.25816060510)"
Acer rubrum,"maple, red",11,1,Street,"(40.08102861380, -88.25817221410)"
Tilia cordata,"linden, littleleaf",15,1,Street,"(40.08108148200, -88.25816776040)"
Tilia cordata,"linden, littleleaf",15,1,Street,"(40.08115686400, -88.25816914270)"
Tilia cordata,"linden, littleleaf",16,1,Street,"(40.08121423900, -88.25817201000)"
Acer saccharum,"maple, sugar",18,1,Street,"(40.13556316430, -88.25063548450)"
Acer rubrum,"maple, red",28,1,Street,"(40.08148759800, -88.25817124480)"
Prunus spp.,"cherry/plum, spp.",4,1,Street,"(40.08157201480, -88.25817779910)"
Acer rubrum,"maple, red",12,1,Street,"(40.08173990750, -88.25817904400)"
Quercus rubra,"oak, northern red",19,1,Street,"(40.08213756980, -88.25818461060)"
Acer saccharinum,"maple, silver",21,1,Street,"(40.08221472700, -88.25804507890)"
Fraxinus pennsylvanica,"ash, green",19,1,Street,"(40.08221551020, -88.25789880530)"
Acer platanoides,"maple, Norway",12,1,Street,"(40.08221670610, -88.25771196940)"
Pyrus calleryana,"pear, Callery",19,1,Street,"(40.08134845060, -88.25817582920)"
Tilia cordata,"linden, littleleaf",6,1,Street,"(40.09332096410, -88.31966166810)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.09331739350, -88.31918857310)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.09331073140, -88.31903448600)"
Tilia cordata,"linden, littleleaf",8,1,Street,"(40.09327492140, -88.31870537120)"
Acer rubrum,"maple, red",7,1,Street,"(40.09315643320, -88.31820906910)"
Tilia cordata,"linden, littleleaf",7,1,Street,"(40.09298409190, -88.31777400860)"
Acer campestre,"maple, hedge",4,1,Street,"(40.09292820990, -88.31763473120)"
vacant site large,"vacant site, large",0,0,Street,"(40.10016287740, -88.24539414100)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.09285055410, -88.31745971630)"
Fraxinus americana,"ash, white",9,1,Street,"(40.09262708350, -88.31693713790)"
Tilia cordata,"linden, littleleaf",9,1,Street,"(40.09222969520, -88.31596282030)"
Fraxinus americana,"ash, white",13,1,Street,"(40.09199387520, -88.31515470870)"
Tilia cordata,"linden, littleleaf",9,1,Street,"(40.09191522460, -88.31478987150)"
vacant site large,"vacant site, large",0,0,Street,"(40.09984635710, -88.24640124170)"
vacant site large,"vacant site, large",0,0,Street,"(40.09984535760, -88.24525985690)"
vacant site large,"vacant site, large",0,0,Street,"(40.09995362240, -88.24522032460)"
Malus spp.,"crabapple, flowering",7,1,Street,"(40.09203735560, -88.31479355560)"
Picea pungens,"spruce, Colorado",14,1,Street,"(40.09200420580, -88.31469248510)"
Quercus robur,"oak, English",14,1,Street,"(40.09204490720, -88.31463825270)"
Malus spp.,"crabapple, flowering",7,1,Street,"(40.09198430260, -88.31451624470)"
Pinus strobus,"pine, eastern white",10,1,Street,"(40.09204960600, -88.31449771210)"
vacant site large,"vacant site, large",0,0,Street,"(40.10001299440, -88.25338723740)"
Pyrus calleryana,"pear, Callery",16,1,Street,"(40.09190005790, -88.31453474670)"
Pyrus calleryana,"pear, Callery",14,1,Street,"(40.09213149940, -88.31453775690)"
Tilia cordata,"linden, littleleaf",10,1,Street,"(40.09215049800, -88.31489396130)"
Fraxinus americana,"ash, white",10,1,Street,"(40.09215511300, -88.31526271540)"
Fraxinus americana,"ash, white",12,1,Street,"(40.09241924960, -88.31527008000)"
Acer rubrum,"maple, red",6,1,Street,"(40.09292930450, -88.31516957910)"
Tilia cordata,"linden, littleleaf",8,1,Street,"(40.09323379380, -88.31517339410)"
Fraxinus americana,"ash, white",11,1,Street,"(40.09352274820, -88.31519394110)"
Acer rubrum,"maple, red",4,1,Street,"(40.09258943710, -88.31520698480)"
vacant site large,"vacant site, large",0,0,Street,"(40.10122846370, -88.25501588870)"
Fraxinus americana,"ash, white",12,1,Street,"(40.09375185090, -88.31533810460)"
Fraxinus americana,"ash, white",11,1,Street,"(40.09400051480, -88.31594935950)"
Tilia cordata,"linden, littleleaf",10,1,Street,"(40.09399679570, -88.31641652740)"
Acer rubrum,"maple, red",6,1,Street,"(40.09384148610, -88.31666980770)"
Acer rubrum,"maple, red",8,1,Street,"(40.09371310600, -88.31635469030)"
Fraxinus americana,"ash, white",12,1,Street,"(40.09370453160, -88.31610323830)"
vacant site large,"vacant site, large",0,0,Street,"(40.10122000220, -88.25375773890)"
Fraxinus americana,"ash, white",3,1,Street,"(40.08666963910, -88.32550113770)"
Picea pungens,"spruce, Colorado",10,1,Street,"(40.09369190630, -88.31593506920)"
Tilia cordata,"linden, littleleaf",6,1,Street,"(40.09370607770, -88.31561580640)"
Betula nigra,"birch, river",6,3,Street,"(40.09364356360, -88.31556528170)"
Fraxinus americana,"ash, white",4,1,Street,"(40.09354882810, -88.31537819050)"
Fraxinus americana,"ash, white",9,1,Street,"(40.09345985330, -88.31534247070)"
Acer rubrum,"maple, red",7,1,Street,"(40.09295576220, -88.31531139990)"
Fraxinus americana,"ash, white",12,1,Street,"(40.09241123160, -88.31543231790)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.08690747630, -88.32549771520)"
Tilia cordata,"linden, littleleaf",8,1,Street,"(40.09224845350, -88.31565989750)"
Pyrus calleryana,"pear, Callery",5,1,Street,"(40.09246109360, -88.31622965190)"
Pyrus calleryana,"pear, Callery",6,1,Street,"(40.09253023980, -88.31639358630)"
Acer rubrum,"maple, red",5,1,Street,"(40.09264008180, -88.31664994180)"
Tilia cordata,"linden, littleleaf",4,1,Street,"(40.09272721250, -88.31684589820)"
Fraxinus americana,"ash, white",8,1,Street,"(40.09282854190, -88.31708992590)"
vacant site large,"vacant site, large",0,0,Street,"(40.10112041250, -88.25360239050)"
vacant site large,"vacant site, large",0,0,Street,"(40.10726461790, -88.25898240860)"
Fraxinus americana,"ash, white",6,1,Street,"(40.09304728890, -88.31760267820)"
Fraxinus americana,"ash, white",7,1,Street,"(40.09315051100, -88.31784828040)"
Tilia cordata,"linden, littleleaf",7,1,Street,"(40.09329256820, -88.31824392420)"
Acer rubrum,"maple, red",6,1,Street,"(40.09343070410, -88.31912410470)"
Tilia cordata,"linden, littleleaf",8,1,Street,"(40.09344022360, -88.31952746440)"
Fraxinus americana,"ash, white",7,1,Street,"(40.09342415880, -88.31994530510)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.08705801920, -88.32550416690)"
Quercus rubra,"oak, northern red",2,1,Street,"(40.08670453940, -88.32564680850)"
Tilia cordata,"linden, littleleaf",7,1,Street,"(40.09337308800, -88.32032619390)"
Fraxinus pennsylvanica,"ash, green",8,1,Street,"(40.09337353240, -88.32113062870)"
Fraxinus americana,"ash, white",7,1,Street,"(40.09375219420, -88.32113056110)"
